timestamp,traffic_flow
2024-11-01 00:00,120
2024-11-01 01:00,132
2024-11-01 02:00,140
2024-11-01 03:00,125
2024-11-01 04:00,130
2024-11-01 05:00,145
2024-11-01 06:00,155
2024-11-01 07:00,180
2024-11-01 08:00,200
2024-11-01 09:00,210
2024-11-01 10:00,190
2024-11-01 11:00,175
2024-11-01 12:00,160
2024-11-01 13:00,165
2024-11-01 14:00,170
2024-11-01 15:00,190
2024-11-01 16:00,200
2024-11-01 17:00,210
2024-11-01 18:00,220
2024-11-01 19:00,230
2024-11-01 20:00,240
2024-11-01 21:00,230
2024-11-01 22:00,220
2024-11-01 23:00,200
